Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),DayOfWeek,Weekday,VIX_Close,Daily_Return
2024-01-01,21727.75,21834.35,21680.85,21741.9,153995217.0,14184.09,Monday,0,14.68,
2024-01-02,21751.35,21755.6,21555.65,21665.8,263711568.0,25316.13,Tuesday,1,14.58,-0.3500154080370299
2024-01-03,21661.1,21677.0,21500.35,21517.35,311933117.0,32329.23,Wednesday,2,14.0975,-0.685181253403988
2024-01-04,21605.8,21685.65,21564.55,21658.6,339172697.0,30868.15,Thursday,3,13.33,0.6564470067178307
2024-01-05,21705.75,21749.6,21629.2,21710.8,309303266.0,26554.49,Friday,4,12.63,0.2410128078453866
2024-01-08,21747.6,21763.95,21492.9,21513.0,231452935.0,21140.94,Monday,0,13.4625,-0.911067302909152
2024-01-09,21653.6,21724.45,21517.85,21544.85,228568589.0,24055.74,Tuesday,1,13.2625,0.14805001626922998
2024-01-10,21529.3,21641.85,21448.65,21618.7,216991926.0,20958.96,Wednesday,2,12.97,0.3427733309816494
2024-01-11,21688.0,21726.5,21593.75,21647.2,212453866.0,23492.12,Thursday,3,12.7675,0.13183031357111297
2024-01-12,21773.55,21928.25,21715.15,21894.55,294678459.0,30565.5,Friday,4,13.1,1.142642004508665
2024-01-15,22053.15,22115.55,21963.55,22097.45,345543523.0,29523.15,Monday,0,13.785,0.9267146390311787
2024-01-16,22080.5,22124.15,21969.8,22032.3,292433764.0,24435.94,Tuesday,1,13.5725,-0.2948303989826928
2024-01-17,21647.25,21851.5,21550.45,21571.95,455999867.0,47533.44,Wednesday,2,15.08,-2.089432333437724
2024-01-18,21414.2,21539.4,21285.55,21462.25,387341268.0,39718.84,Thursday,3,14.07,-0.5085307540579342
2024-01-19,21615.2,21670.6,21575.0,21622.4,343055124.0,34429.24,Friday,4,13.8775,0.7461938985893868
2024-01-20,21706.15,21720.3,21541.8,21571.8,162073740.0,13917.46,Saturday,5,13.8025,-0.23401657540329523
2024-01-23,21716.7,21750.25,21192.6,21238.8,449718534.0,48813.68,Tuesday,1,14.8525,-1.5436820293160514
2024-01-24,21185.25,21482.35,21137.2,21453.95,407460664.0,41718.64,Wednesday,2,14.375,1.0130045011959243
2024-01-25,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5,Thursday,3,13.865,-0.472407179097567
2024-01-29,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42,Monday,0,15.68,1.803059112239258
2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3,Tuesday,1,16.1025,-0.9913697924333831
2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85,Wednesday,2,16.0475,0.946004339725226
2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15,Thursday,3,14.455,-0.13003033273956133
2024-02-02,21812.75,22126.8,21805.55,21853.8,442794738.0,38395.9,Friday,4,14.6975,0.7205915902559923
2024-02-05,21921.05,21964.3,21726.95,21771.7,440849699.0,33807.94,Monday,0,15.6175,-0.3756783717248191
2024-02-06,21825.2,21951.4,21737.55,21929.4,370968111.0,32910.82,Tuesday,1,15.785,0.7243348016002349
2024-02-07,22045.05,22053.3,21860.15,21930.5,346263704.0,30088.76,Wednesday,2,15.505,0.005016097111631979
2024-02-08,22009.65,22011.05,21665.3,21717.95,491069786.0,41082.02,Thursday,3,15.8275,-0.9691981486970147
2024-02-09,21727.0,21804.45,21629.9,21782.5,349222850.0,31176.16,Friday,4,15.4475,0.2972195810378109
2024-02-12,21800.8,21831.7,21574.75,21616.05,287436165.0,23921.14,Monday,0,16.0625,-0.7641455296683142
2024-02-13,21664.3,21766.8,21543.35,21743.25,365785766.0,29896.62,Tuesday,1,15.8075,0.5884516366311265
2024-02-14,21578.15,21870.85,21530.2,21840.05,359120861.0,32535.0,Wednesday,2,15.435,0.44519563542708696
2024-02-15,21906.55,21953.85,21794.8,21910.75,345394395.0,29559.69,Thursday,3,15.225,0.32371720760713263
2024-02-16,22020.3,22068.65,21968.95,22040.7,343892935.0,30666.89,Friday,4,15.2225,0.5930878678274354
2024-02-19,22103.45,22186.65,22021.05,22122.25,218252325.0,21375.71,Monday,0,16.0175,0.3699973231340081
2024-02-20,22099.2,22215.6,22045.85,22196.95,295705319.0,26872.32,Tuesday,1,16.0725,0.33766908881329716
2024-02-21,22248.85,22249.4,21997.95,22055.05,364545679.0,29741.39,Wednesday,2,15.9275,-0.6392770177884866
2024-02-22,22081.55,22252.5,21875.25,22217.45,343495136.0,33985.94,Thursday,3,15.1975,0.7363392964423232
2024-02-23,22290.0,22297.5,22186.1,22212.7,225983194.0,24617.01,Friday,4,14.9725,-0.02137959126722322
2024-02-26,22169.2,22202.15,22075.15,22122.05,207775504.0,20850.26,Monday,0,15.6,-0.4080998707946426
2024-02-27,22090.2,22218.25,22085.65,22198.35,252199186.0,24620.71,Tuesday,1,15.7275,0.3449047443613962
2024-02-28,22214.1,22229.15,21915.85,21951.15,202952371.0,20579.8,Wednesday,2,16.33,-1.1135962808046407
2024-02-29,21935.2,22060.55,21860.65,21982.8,360165824.0,40196.12,Thursday,3,15.5725,0.14418378991531977
2024-03-01,22048.3,22353.3,22047.75,22338.75,351503075.0,29646.47,Friday,4,15.235,1.6192204814673428
2024-03-02,22406.95,22419.55,22367.05,22378.4,35763814.0,1918.77,Saturday,5,15.235,0.17749426445079486
2024-03-04,22403.5,22440.9,22358.3,22405.6,298794435.0,23771.71,Monday,0,14.9225,0.12154577628427088
2024-03-05,22371.25,22416.9,22269.15,22356.3,296153036.0,29165.37,Tuesday,1,14.38,-0.22003427714499812
2024-03-06,22327.5,22497.2,22224.35,22474.05,312262560.0,31029.01,Wednesday,2,14.295,0.5266971726090697
2024-03-07,22505.3,22525.65,22430.0,22493.55,379865142.0,33558.46,Thursday,3,13.6125,0.0867667376374115
2024-03-11,22517.5,22526.6,22307.25,22332.65,277897373.0,27222.37,Monday,0,13.995,-0.7153161684127163
2024-03-12,22334.45,22452.55,22256.0,22335.7,299201167.0,29781.12,Tuesday,1,13.6375,0.013657134285449679
2024-03-13,22432.2,22446.75,21905.65,21997.7,493341697.0,40109.23,Wednesday,2,14.4325,-1.5132724741109493
2024-03-14,21982.55,22204.6,21917.5,22146.65,426742460.0,37348.3,Thursday,3,13.6225,0.6771162439709544
2024-03-15,22064.85,22120.9,21931.7,22023.35,661460455.0,60260.88,Friday,4,13.69,-0.5567433449302883
2024-03-18,21990.1,22123.7,21916.55,22055.7,356321519.0,23015.51,Monday,0,13.895,0.146889551317142
2024-03-19,21946.45,21978.3,21793.1,21817.45,344157465.0,30291.6,Tuesday,1,14.1125,-1.080219625765677
2024-03-20,21843.9,21930.9,21710.2,21839.1,312414696.0,28939.85,Wednesday,2,13.4725,0.09923249508994036
2024-03-21,21989.9,22080.95,21941.3,22011.95,353172434.0,31258.4,Thursday,3,12.5125,0.7914703444739102
2024-03-22,21932.2,22180.7,21883.3,22096.75,388656439.0,39023.19,Friday,4,12.22,0.38524528721899376
2024-03-26,21947.9,22073.2,21947.55,22004.7,328403719.0,33382.08,Tuesday,1,12.82,-0.41657709844207247
2024-03-27,22053.95,22193.6,22052.85,22123.65,409136866.0,38830.73,Wednesday,2,12.7025,0.540566333556014
2024-03-28,22163.6,22516.0,22163.6,22326.9,407422815.0,45656.57,Thursday,3,12.8325,0.9187001240753778
2024-04-01,22455.0,22529.95,22427.75,22462.0,243637071.0,21420.69,Monday,0,12.0825,0.605099677966936
2024-04-02,22458.8,22497.6,22388.15,22453.3,289524237.0,27940.93,Tuesday,1,11.6525,-0.03873208084765878
2024-04-03,22385.7,22521.1,22346.5,22434.65,309647491.0,30793.28,Wednesday,2,11.3725,-0.08306128720498851
2024-04-04,22592.1,22619.0,22303.8,22514.65,400986156.0,40705.56,Thursday,3,11.22,0.3565912550452133
